field_id,sea_name,trt_nu,trt_name,crop_name,trt_desc
clim1,26/27,1,26s_p,p,Perennial cereal rye (P); planted spring 2026; 12.5 cm rows; 80 kg of nitrogen at planting + 20 kg nitrogen after harvest; summer forage harvest
clim1,26/27,2,26s_pleg1,p; leg1,"Perennial cereal rye (P) and Trifolium resupinatum (annual Persian clover cv. Pasat, leg1); planted spring 2026; 12.5 cm rows with leg1 in between; 80 kg of nitrogen at planting; summer forage harvest"
clim1,26/27,3,26s_pleg2wide,p; leg2,"Perennial cereal rye (P) and Medicago lupulina (perennial Black medic cv. Virgo pajbjerg, leg2); planted spring 2026; 25 cm rows with leg2 in between; 80 kg of nitrogen at planting; summer forage harvest"
clim1,26/27,4,26s_pbuck,p; buck,Perennial cereal rye (P) and buckwheat (cv Lileja); planted spring 2026; 12.5 cm rows with buck in between; 80 kg of nitrogen at planting; summer forage harvest
clim1,26/27,5,26s_pbuckwide,p; buck,Perennial cereal rye (P) and buckwheat (cv Lileja); planted spring 2026; 25 cm rows with buck in between; 80 kg of nitrogen at planting; summer forage harvest
clim1,26/27,6,26s_w,w,Perennial wheat (W) from The Land Institute; planted spring 2026; 12.5 cm rows; 80 kg of nitrogen at planting; grain harvest in 2026
clim1,26/27,7,26f_p,p,Perennial cereal rye (P); planted fall 2026; 12.5 cm rows; ?? nitrogen
clim1,26/27,8,26f_p0,p,Perennial cereal rye (P); planted fall 2026; 12.5 cm rows; no nitrogen
clim1,26/27,9,26f_pwide,p,Perennial cereal rye (P); planted fall 2026; 25 cm rows; ?? nitrogen
clim1,26/27,10,26f_p0wide,p,Perennial cereal rye (P); planted fall 2026; 25 cm rows; no nitrogen
clim1,26/27,11,26f_apmix,a; p,Perennial cereal rye (P) and Dukato population rye (A) mixed together before planting; planted fall 2026; 12.5 cm rows; ?? nitrogen
clim1,26/27,12,26f_apmixwide,a; p,Perennial cereal rye (P) and Dukato population rye (A) mixed together before planting; planted fall 2026; 25 cm rows; ?? nitrogen
clim1,26/27,13,26f_aprowwide,a; p,Perennial cereal rye (P) and Dukato population rye (A) in alternating rows; planted fall 2026; 25 cm rows with A in between; ?? nitrogen
clim1,26/27,14,26f_a,a,Dukato population rye (A); planted fall 2026; 12.5 cm rows; ?? nitrogen
clim1,26/27,15,26f_awide,a,Dukato population rye (A); planted fall 2026; 25 cm rows; ?? nitrogen
clim1,26/27,16,26f_borris,borris,Borris a popular; planted fall 2026; 12.5 cm rows; no nitrogen
clim1,26/27,17,26f_reimontra,reimontra,Dukato population rye (A); planted fall 2026; 25 cm rows; ?? nitrogen
clim1,26/27,18,26f_p0leg2,p; leg2,"Perennial cereal rye (P) and Medicago lupulina (perennial Black medic cv. Virgo pajbjerg, leg2); planted fall 2026; 25 cm rows with leg2 in between; no nitrogen"
NA,NA,19,NA,NA,NA
NA,NA,20,NA,NA,NA
NA,NA,21,NA,NA,NA
NA,NA,22,NA,NA,NA
NA,NA,23,NA,NA,NA
NA,NA,24,NA,NA,NA
NA,NA,25,NA,NA,NA
NA,NA,26,NA,NA,NA
NA,NA,27,NA,NA,NA
NA,NA,28,NA,NA,NA
NA,NA,29,NA,NA,NA
NA,NA,30,NA,NA,NA
NA,NA,31,NA,NA,NA
NA,NA,32,NA,NA,NA
NA,NA,33,NA,NA,NA
NA,NA,34,NA,NA,NA
NA,NA,35,NA,NA,NA
NA,NA,36,NA,NA,NA
NA,NA,37,NA,NA,NA
NA,NA,38,NA,NA,NA
NA,NA,39,NA,NA,NA
NA,NA,40,NA,NA,NA
NA,NA,41,NA,NA,NA
NA,NA,42,NA,NA,NA
NA,NA,43,NA,NA,NA
NA,NA,44,NA,NA,NA
NA,NA,45,NA,NA,NA
NA,NA,46,NA,NA,NA
NA,NA,47,NA,NA,NA
NA,NA,48,NA,NA,NA
NA,NA,49,NA,NA,NA
NA,NA,50,NA,NA,NA
NA,NA,51,NA,NA,NA
