field_id,sea_name,trt_name,block,plot,sampledate_ymd2,data_type,biomass_cat,value
sexy1,24/25,p,B1,101,2025-09-22,fallbio_kgha,all,214.79999999999998
sexy1,24/25,p,B1,101,2025-10-07,fallbio_kgha,all,268.59999999999997
sexy1,24/25,p,B1,101,2025-10-20,fallbio_kgha,all,408.59999999999997
sexy1,24/25,p,B1,101,2025-11-03,fallbio_kgha,rye re,128.66
sexy1,24/25,p,B1,101,2025-11-03,fallbio_kgha,rye vo,71.58
sexy1,24/25,p,B1,101,2025-11-03,fallbio_kgha,weeds,125.61000000000001
sexy1,24/25,pcc,B1,103,2025-09-22,fallbio_kgha,all,130.2
sexy1,24/25,pcc,B1,103,2025-10-07,fallbio_kgha,all,233.99999999999997
sexy1,24/25,pcc,B1,103,2025-10-20,fallbio_kgha,all,290.4
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,oil,200.61
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,pha,19.04
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,rye re,84.36
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,rye vo,39.370000000000005
sexy1,24/25,pcc,B1,103,2025-11-03,fallbio_kgha,weeds,100.78000000000003
sexy1,24/25,xa,B1,104,2025-11-03,fallbio_kgha,rye vo,91.86999999999999
sexy1,24/25,xa,B1,104,2025-11-03,fallbio_kgha,weeds,533.215
sexy1,24/25,a,B1,105,2025-09-22,fallbio_kgha,all,355.6
sexy1,24/25,a,B1,105,2025-10-07,fallbio_kgha,all,605
sexy1,24/25,a,B1,105,2025-10-20,fallbio_kgha,all,465.6
sexy1,24/25,a,B1,105,2025-11-03,fallbio_kgha,rye vo,204.13000000000002
sexy1,24/25,a,B1,105,2025-11-03,fallbio_kgha,weeds,259.14000000000004
sexy1,24/25,xacc,B1,107,2025-11-03,fallbio_kgha,oil,445.67999999999995
sexy1,24/25,xacc,B1,107,2025-11-03,fallbio_kgha,pha,25.330000000000005
sexy1,24/25,xacc,B1,107,2025-11-03,fallbio_kgha,rye vo,49.56
sexy1,24/25,xacc,B1,107,2025-11-03,fallbio_kgha,weeds,255.455
sexy1,24/25,acc,B1,110,2025-09-22,fallbio_kgha,all,404.20000000000005
sexy1,24/25,acc,B1,110,2025-10-07,fallbio_kgha,all,1169.6
sexy1,24/25,acc,B1,110,2025-10-20,fallbio_kgha,all,987.8000000000001
sexy1,24/25,acc,B1,110,2025-11-03,fallbio_kgha,oil,639.2199999999999
sexy1,24/25,acc,B1,110,2025-11-03,fallbio_kgha,pha,34.760000000000005
sexy1,24/25,acc,B1,110,2025-11-03,fallbio_kgha,rye vo,21.97000000000001
sexy1,24/25,acc,B1,110,2025-11-03,fallbio_kgha,weeds,309.905
sexy1,24/25,xp,B1,111,2025-11-03,fallbio_kgha,rye re,203.63
sexy1,24/25,xp,B1,111,2025-11-03,fallbio_kgha,rye vo,43.60999999999999
sexy1,24/25,xp,B1,111,2025-11-03,fallbio_kgha,weeds,530.53
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,oil,96.86
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,pha,1.7900000000000025
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,rye re,53.660000000000004
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,rye vo,0
