LON,LAT,DOY,cpreciplt,cgddlt
11.39044,55.32523,1,2.23625,2.6434375
11.39044,55.32523,2,3.76,4.695625
11.39044,55.32523,3,5.8159375,6.8434375
11.39044,55.32523,4,8.155,9.059375000000001
11.39044,55.32523,5,10.4965625,11.0265625
11.39044,55.32523,6,12.80875,13.2496875
11.39044,55.32523,7,14.68125,15.700625
11.39044,55.32523,8,16.4515625,18.3903125
11.39044,55.32523,9,18.8996875,20.795
11.39044,55.32523,10,20.7853125,23.12625
11.39044,55.32523,11,23.334062499999998,25.5303125
11.39044,55.32523,12,25.199375,28.035
11.39044,55.32523,13,27.38125,30.4534375
11.39044,55.32523,14,28.8565625,32.7028125
11.39044,55.32523,15,30.649375,34.8609375
11.39044,55.32523,16,32.0975,37.3221875
11.39044,55.32523,17,33.693125,39.453125
11.39044,55.32523,18,36.2375,41.406875
11.39044,55.32523,19,38.4234375,43.195
11.39044,55.32523,20,41.480625,45.16125
11.39044,55.32523,21,42.658125,47.0434375
11.39044,55.32523,22,43.7103125,48.3728125
11.39044,55.32523,23,45.6275,49.7215625
11.39044,55.32523,24,47.609375,51.59375
11.39044,55.32523,25,48.8878125,53.1259375
11.39044,55.32523,26,51.1553125,54.751875
11.39044,55.32523,27,53.015,56.4703125
11.39044,55.32523,28,54.5171875,58.26875
11.39044,55.32523,29,56.5603125,59.93875
11.39044,55.32523,30,58.418125,61.890625
11.39044,55.32523,31,60.84875,63.60375
11.39044,55.32523,32,62.6646875,65.4184375
11.39044,55.32523,33,64.1790625,67.120625
11.39044,55.32523,34,65.7540625,68.8065625
11.39044,55.32523,35,67.75875,70.8015625
11.39044,55.32523,36,69.2975,72.8990625
11.39044,55.32523,37,71.4321875,74.8153125
11.39044,55.32523,38,73.04125,76.8275
11.39044,55.32523,39,74.4903125,78.8165625
11.39044,55.32523,40,76.5409375,80.69875
11.39044,55.32523,41,78.2209375,82.50562500000001
11.39044,55.32523,42,79.4975,84.2009375
11.39044,55.32523,43,81.1653125,85.8684375
11.39044,55.32523,44,82.1578125,87.4421875
11.39044,55.32523,45,82.7096875,88.8171875
11.39044,55.32523,46,84.635,90.2625
11.39044,55.32523,47,87.2321875,92.14375
11.39044,55.32523,48,88.70281250000001,93.945625
11.39044,55.32523,49,91.0675,95.9340625
11.39044,55.32523,50,93.2990625,97.8675
11.39044,55.32523,51,95.9103125,99.88375
11.39044,55.32523,52,98.8715625,102.1609375
11.39044,55.32523,53,100.8875,104.3484375
11.39044,55.32523,54,102.1409375,106.430625
11.39044,55.32523,55,103.75,108.665625
11.39044,55.32523,56,105.2815625,110.7459375
11.39044,55.32523,57,106.9528125,112.9503125
11.39044,55.32523,58,108.39875,114.9671875
11.39044,55.32523,59,109.704375,117.2896875
11.39044,55.32523,60,111.52375,119.27875
11.39044,55.32523,61,113.46375,121.4075
11.39044,55.32523,62,115.095,123.6809375
11.39044,55.32523,63,116.645625,125.884375
11.39044,55.32523,64,118.1775,127.8203125
11.39044,55.32523,65,120.1375,129.875625
11.39044,55.32523,66,122.1321875,132.15625
11.39044,55.32523,67,123.6175,134.5446875
11.39044,55.32523,68,124.821875,137.149375
11.39044,55.32523,69,126.1028125,139.876875
11.39044,55.32523,70,127.69125,142.6996875
11.39044,55.32523,71,129.476875,145.459375
11.39044,55.32523,72,131.55125,148.3578125
11.39044,55.32523,73,132.9853125,151.36
11.39044,55.32523,74,134.176875,154.3234375
11.39044,55.32523,75,135.1975,157.636875
11.39044,55.32523,76,136.4709375,161.1796875
11.39044,55.32523,77,137.73375,164.7390625
11.39044,55.32523,78,139.773125,167.82375
11.39044,55.32523,79,140.8796875,170.9753125
11.39044,55.32523,80,141.953125,174.2396875
11.39044,55.32523,81,143.38625,177.71875
11.39044,55.32523,82,144.5334375,181.4040625
11.39044,55.32523,83,145.15125,185.089375
11.39044,55.32523,84,146.0459375,188.8234375
11.39044,55.32523,85,147.510625,192.661875
11.39044,55.32523,86,149.4096875,196.5571875
11.39044,55.32523,87,150.1771875,200.7153125
11.39044,55.32523,88,151.781875,205.1646875
11.39044,55.32523,89,153.178125,209.774375
11.39044,55.32523,90,154.941875,214.7925
11.39044,55.32523,91,155.7990625,219.6971875
11.39044,55.32523,92,156.2409375,224.6640625
11.39044,55.32523,93,157.4465625,229.6665625
11.39044,55.32523,94,159.044375,234.743125
11.39044,55.32523,95,160.7846875,239.736875
11.39044,55.32523,96,162.17875,244.9746875
11.39044,55.32523,97,163.8228125,250.5134375
11.39044,55.32523,98,164.7659375,255.97375
11.39044,55.32523,99,165.39375,261.2590625
11.39044,55.32523,100,165.9975,266.6021875
