"trial_location";"field_year";"block";"plot";"trt_id"
"org1";2026;"b1";101;"PRACTICE PLOT"
"org1";2026;"b1";102;"26fall_APROWMIX_wide_3QN"
"org1";2026;"b1";103;"26spring_BARLEYPEA"
"org1";2026;"b1";104;"26spring_BARLEYPEA"
"org1";2026;"b1";105;"26spring_BARLEYPEA"
"org1";2026;"b1";106;"26spring_PBUCKMIX_wide_HN"
"org1";2026;"b1";107;"26fall_P_nar_1N"
"org1";2026;"b1";108;"26spring_BARLEYPEA"
"org1";2026;"b1";109;"26spring_BARLEYPEA"
"org1";2026;"b1";110;"26spring_BARLEYPEA"
"org1";2026;"b1";111;"26spring_BARLEYPEA"
"org1";2026;"b1";112;"26spring_BARLEYPEA"
"org1";2026;"b1";113;"26spring_PW_TLI"
"org1";2026;"b1";114;"26spring_BARLEYPEA"
"org1";2026;"b1";115;"26spring_P_nar_HN"
"org1";2026;"b1";116;"26fall_A_nar_1N"
"org1";2026;"b1";117;"26spring_BARLEYPEA"
"org1";2026;"b1";118;"26spring_PBUCKMIX_nar_HN"
"org1";2026;"b1";119;"26spring_BARLEYPEA"
"org1";2026;"b1";120;"26spring_BARLEYPEA"
"org1";2026;"b1";121;"26spring_BARLEYPEA"
"org1";2026;"b1";122;"26spring_BARLEYPEA"
"org1";2026;"b1";123;"26spring_BARLEYPEA"
"org1";2026;"b1";124;"26spring_BARLEYPEA"
"org1";2026;"b1";125;"26spring_PLEG1MIX_nar_HN"
"org1";2026;"b1";126;"26fall_PW_WSU"
"org1";2026;"b1";127;"26spring_BARLEYPEA"
"org1";2026;"b1";128;"26spring_BARLEYPEA"
"org1";2026;"b1";129;"26spring_BARLEYPEA"
"org1";2026;"b1";130;"26fall_P_nar_HN"
"org1";2026;"b1";131;"26spring_BARLEYPEA"
"org1";2026;"b1";132;"26spring_BARLEYPEA"
"org1";2026;"b1";133;"26fall_APMIX_wide_3QN"
"org1";2026;"b1";134;"26spring_BARLEYPEA"
"org1";2026;"b1";135;"26fall_APMIX_nar_3QN"
"org1";2026;"b1";136;"26spring_BARLEYPEA"
"org1";2026;"b1";137;"26fall_P_wide_1N"
"org1";2026;"b1";138;"26spring_BARLEYPEA"
"org1";2026;"b1";139;"26spring_PLEG2MIX_wide_HN"
"org1";2026;"b1";140;"26spring_BARLEYPEA"
"org1";2026;"b1";141;"26spring_BARLEYPEA"
"org1";2026;"b1";142;"26fall_P_wide_HN"
"org1";2026;"b1";143;"26fall_A_wide_1N"
"org1";2026;"b1";144;"26spring_BARLEYPEA"
"org1";2026;"b1";145;"26spring_BARLEYPEA"
"org1";2026;"b1";146;"26spring_BARLEYPEA"
"org1";2026;"b1";147;"26spring_BARLEYPEA"
"org1";2026;"b1";148;"26spring_BARLEYPEA"
"org1";2026;"b1";149;"26spring_BARLEYPEA"
"org1";2026;"b1";150;"26spring_BARLEYPEA"
"org1";2026;"b1";151;"26spring_BARLEYPEA"
"org1";2026;"b1";152;"26spring_BARLEYPEA"
"org1";2026;"b1";153;"PRACTICE PLOT"
"org1";2026;"b2";201;"PRACTICE PLOT"
"org1";2026;"b2";202;"26spring_PBUCKMIX_wide_HN"
"org1";2026;"b2";203;"26fall_P_wide_HN"
"org1";2026;"b2";204;"26spring_BARLEYPEA"
"org1";2026;"b2";205;"26spring_BARLEYPEA"
"org1";2026;"b2";206;"26spring_P_nar_HN"
"org1";2026;"b2";207;"26spring_BARLEYPEA"
"org1";2026;"b2";208;"26spring_BARLEYPEA"
"org1";2026;"b2";209;"26spring_BARLEYPEA"
"org1";2026;"b2";210;"26spring_PW_TLI"
"org1";2026;"b2";211;"26spring_BARLEYPEA"
"org1";2026;"b2";212;"26spring_BARLEYPEA"
"org1";2026;"b2";213;"26spring_BARLEYPEA"
"org1";2026;"b2";214;"26spring_BARLEYPEA"
"org1";2026;"b2";215;"26spring_BARLEYPEA"
"org1";2026;"b2";216;"26spring_BARLEYPEA"
"org1";2026;"b2";217;"26spring_BARLEYPEA"
"org1";2026;"b2";218;"26spring_BARLEYPEA"
"org1";2026;"b2";219;"26spring_BARLEYPEA"
"org1";2026;"b2";220;"26spring_BARLEYPEA"
"org1";2026;"b2";221;"26spring_BARLEYPEA"
"org1";2026;"b2";222;"26spring_BARLEYPEA"
"org1";2026;"b2";223;"26spring_PBUCKMIX_nar_HN"
"org1";2026;"b2";224;"26fall_A_nar_1N"
"org1";2026;"b2";225;"26spring_BARLEYPEA"
"org1";2026;"b2";226;"26fall_APMIX_wide_3QN"
"org1";2026;"b2";227;"26spring_BARLEYPEA"
"org1";2026;"b2";228;"26spring_BARLEYPEA"
"org1";2026;"b2";229;"26spring_BARLEYPEA"
"org1";2026;"b2";230;"26spring_BARLEYPEA"
"org1";2026;"b2";231;"26spring_BARLEYPEA"
"org1";2026;"b2";232;"26fall_P_nar_1N"
"org1";2026;"b2";233;"26fall_APROWMIX_wide_3QN"
"org1";2026;"b2";234;"26fall_PW_WSU"
"org1";2026;"b2";235;"26fall_APMIX_nar_3QN"
"org1";2026;"b2";236;"26spring_BARLEYPEA"
"org1";2026;"b2";237;"26spring_BARLEYPEA"
"org1";2026;"b2";238;"26fall_A_wide_1N"
"org1";2026;"b2";239;"26spring_BARLEYPEA"
"org1";2026;"b2";240;"26spring_BARLEYPEA"
"org1";2026;"b2";241;"26spring_BARLEYPEA"
"org1";2026;"b2";242;"26spring_BARLEYPEA"
"org1";2026;"b2";243;"26fall_P_wide_1N"
"org1";2026;"b2";244;"26spring_BARLEYPEA"
"org1";2026;"b2";245;"26spring_BARLEYPEA"
"org1";2026;"b2";246;"26spring_BARLEYPEA"
"org1";2026;"b2";247;"26spring_PLEG2MIX_wide_HN"
"org1";2026;"b2";248;"26fall_P_nar_HN"
"org1";2026;"b2";249;"26spring_BARLEYPEA"
"org1";2026;"b2";250;"26spring_BARLEYPEA"
"org1";2026;"b2";251;"26spring_BARLEYPEA"
"org1";2026;"b2";252;"26spring_PLEG1MIX_nar_HN"
"org1";2026;"b2";253;"PRACTICE PLOT"
"org1";2026;"b3";301;"PRACTICE PLOT"
"org1";2026;"b3";302;"26spring_BARLEYPEA"
"org1";2026;"b3";303;"26spring_BARLEYPEA"
"org1";2026;"b3";304;"26spring_BARLEYPEA"
"org1";2026;"b3";305;"26spring_BARLEYPEA"
"org1";2026;"b3";306;"26spring_BARLEYPEA"
"org1";2026;"b3";307;"26spring_PW_TLI"
"org1";2026;"b3";308;"26spring_BARLEYPEA"
"org1";2026;"b3";309;"26spring_BARLEYPEA"
"org1";2026;"b3";310;"26spring_BARLEYPEA"
"org1";2026;"b3";311;"26spring_BARLEYPEA"
"org1";2026;"b3";312;"26spring_BARLEYPEA"
"org1";2026;"b3";313;"26spring_PLEG2MIX_wide_HN"
"org1";2026;"b3";314;"26spring_PBUCKMIX_wide_HN"
"org1";2026;"b3";315;"26fall_APMIX_wide_3QN"
